ID;Atleta;Sesso;Titoli;Data di nascita;Peso;Link;Foto;ID genealogico
221;Annarita D'Elia;F;-;?;?;-;2017/AnnaritaDElia.jpg;I11638
222;Maurizio Zarra;M;-;?;?;-;-;I545
223;Agostino Merino;M;-;?;?;-;-;I7879
224;Daniele Caprio;M;-;?;?;-;2017/DanieleCaprio.jpg;I5865
225;Raffaele Rosania;M;-;?;?;-;-;-
226;Giovanni Viscardi;M;-;1994;?;-;2017/GiovanniViscardi.jpg;I1098
227;Vincenzo Curcio;M;-;?;?;-;2017/VincenzoCurcio.jpg;-
228;Gerardo Rosamilia;M;-;?;?;-;-;I7817
229;Carmine Feniello;M;-;?;?;-;-;I6977
230;Lucia Sozio;F;-;?;?;-;-;I10000
231;Rossella D'Elia;F;-;?;?;-;-;-
232;Mimma Feniello;F;-;?;?;-;-;I5665
233;Antonio Nesta;M;-;1995;?;-;2017/AntonioNesta.jpg;I6523
234;Gerardo Aiello;M;-;?;?;-;2019/stra19_13.jpg;I266
235;Giuseppe Caruso;M;-;?;?;-;2019/stra19_12.jpg;I10016
236;Mauro Malanga;M;-;?;?;-;-;-
237;Marco Galdi;M;-;?;?;-;2017/MarcoGaldi.jpg;-
238;Francesco Rosania;M;-;?;?;-;-;I6775
239;Alessio Merola;M;-;?;?;-;2017/AlessioMerola.jpg;I13051
240;Simona Ceres;F;-;?;?;-;2019/stra19_06.jpg;I804
241;Giuseppina Russo;F;-;?;?;-;-;-
242;Pasquale Pallante;M;-;?;?;-;-;I1377
243;Rocco Monteverde;M;-;?;?;-;-;-
244;Gerardo Viscido;M;-;?;?;-;2017/GerardoViscido.jpg;I11510
245;Donato Liloia;M;-;?;?;-;-;-
246;Carlo Cibellis;M;-;?;?;-;-;-
247;David Di Masi;M;-;?;?;-;-;I77
248;Gerardo Russomanno 1994;M;-;1994;?;-;2017/GerardoRussomanno1994.jpg;I11663
249;Paolo Palmieri;M;-;?;?;-;2017/PaoloPalmieri.jpg;I1481
250;Marco Proietto;M;-;?;?;-;-;-
251;Lia Ceres;F;-;?;?;-;2017/LiaCeres.jpg;I4516
252;Gerardo Monteverde 1983;M;-;1983;?;-;-;-
253;Arturo Scavella;M;-;?;?;-;-;-
254;Giovanni Aiello;M;-;?;?;-;-;I6909
255;Ilenia Chiaravallo;F;-;?;?;-;-;I2798
256;Raffaele Panariello;M;-;?;?;-;-;-
257;Luigi Cione;M;-;?;?;-;-;-
258;Alfonsorocco Rosania;M;-;1997;?;-;2018/Stra18_15.jpg;I12675
259;Giuseppe Palmieri;M;-;?;?;-;2018/Stra18_43.jpg;I673
260;Raffaele Chiaravallo;M;-;?;?;-;-;I2797
261;Giovanni Rosania;M;-;?;?;-;2017/GiovanniRosania.jpg;I3215
262;Concetta Liloia;F;-;?;?;-;-;-
263;Gerarda Grasso;F;-;?;?;-;-;I1153
264;Concetta Caruso;F;-;?;?;-;-;I6450
265;Nino Chiaravallo;M;-;?;?;-;-;I1416
266;Giuseppe Colatrella;M;-;?;?;-;-;-
267;Enrico Russomanno;M;-;?;?;-;-;-
268;Carmine Cuozzo;M;-;?;?;-;2017/CarmineCuozzo.jpg;I9076
269;Roberto Lenza;M;-;?;?;-;-;-
270;Alfredo Malanga;M;-;?;?;-;-;-
271;Italo Rosania;M;-;?;?;-;-;I11243
272;Serafina D'Alessio;F;-;?;?;-;-;I6425
273;Gerardo Cibellis;M;-;1998;?;-;2019/stra19_11.jpg;I5775
274;Mina Galdi;F;-;?;?;-;2017/MinaGaldi.jpg;I1878
275;Gelsomina Palmieri;F;-;?;?;-;-;I1484
276;Vincenzo Cibellis;M;-;?;?;-;-;-
277;Giuseppe Sozio;M;-;?;?;-;-;I11614
278;Valentino Malanga;M;-;1993;?;-;-;I7882
279;Tara Malanga;F;-;?;?;-;-;I8881
280;Giuseppe Paolercia;M;-;?;?;-;-;-
281;Federico Paolercia;M;-;?;?;-;-;-
282;Angelo Lardieri;M;-;?;?;-;-;-
283;Simone D'Alessio;M;-;?;?;-;2018/Stra18_07.jpg;I11609
284;Filomena Iannuzzi;F;-;?;?;-;-;I11606
285;Emanuele Ceres;M;-;?;?;-;2018/Stra18_35.jpg;I2548
286;Giuseppe Giannattasio;M;-;?;?;-;-;-
287;Antonio Nesta 1952;M;-;1952;?;-;-;-
288;Jasmine Nesta;F;-;1997;?;-;2017/JasmineNesta.jpg;I6522
289;Elisa Nittoli;F;-;?;?;-;2017/ElisaNittoli.jpg;I6521
290;Giuseppe Colatrella 2000;M;-;?;?;-;2019/stra19_15.jpg;-
291;Alessandro Monteverde;M;-;?;?;-;-;-
292;Enrico Piroddi;M;-;?;?;-;-;-
293;Giorgio Sturchio;M;-;?;?;-;-;I8580
294;Gabriella Testa;F;-;?;?;-;-;I4948
295;Giuseppe Malanga 1981;M;-;1981;?;-;2017/GiuseppeMalanga.jpg;I5693
296;Giulio Farina;M;-;?;?;-;-;I315
297;Lorenzo D'Elia;M;-;?;?;-;-;I10232
298;Raffaella Palmieri;F;-;?;?;-;2018/Stra18_43.jpg;I1483
299;Martina Melillo;F;-;?;?;-;-;I3098
300;Antonio Viscido 1975;M;-;1975;?;-;2017/AntonioViscido.jpg;-
301;Gaetana Casale;F;-;?;?;-;2017/GaetanaCasale.jpg;I909
302;Vincenzo Russomanno;M;-;1997;?;-;2017/VincenzoRussomanno.jpg;I13048
303;Nicola Testa;M;-;?;?;-;2017/NicolaTesta.jpg;I1282
304;Grazia Cione;F;-;?;?;-;2017/GraziaCione.jpg;I1225
305;Danila Nesta;F;-;?;?;-;-;I6524
306;Floriana Nesta;F;-;?;?;-;2017/FlorianaNesta.jpg;I6644
307;Michele Gerardo Zanca;M;-;2001;?;-;2018/Stra18_23.jpg;I899
308;Giovanni Chiaravallo;M;-;1999;?;-;2018/Stra18_27.jpg;I8048
309;Gelsomino Monteverde;M;-;1987;?;-;2018/Stra18_30.jpg;I1039
310;Alfonsina D'Auria;F;-;?;?;-;2018/Stra18_61.jpg;I14262
311;Gianluca Cione;M;-;2001;?;-;2018/Stra18_42.jpg;I1254
312;Angelo Nesta;M;-;?;?;-;2019/stra19_17.jpg;I14366
313;Michael Luongo;M;-;1996;?;-;2019/stra19_16.jpg;I14337
314;Elenia Aiello;F;-;1992;?;-;2019/stra19_10.jpg;I6908
315;Erika Rosania;F;-;1998;?;-;2019/stra19_08.jpg;I3216
316;Gerardo Cione;M;-;?;?;-;2019/stra19_07.jpg;I1253
317;Azzurra Cetrulo;F;-;?;?;-;2019/stra19_05.jpg;I11467
318;Caterina Rosania;F;-;?;?;-;2019/stra19_05.jpg;I12676
319;Gerardo Zarra;M;-;?;?;-;-;I3447
320;Gerardo Esposito;M;-;?;?;-;-;I14837
321;Ivan Melillo;M;-;?;?;-;-;I11548
322;Gerardo Rosania;M;-;2002;?;-;-;I11245
323;Alfonso Rosania 1993;M;-;1993;?;-;-;I15923
